id,logo_path,name,origin_country
21246,/e5NWP10OYWCUa0T363WxkNzL78s.png,Wildside,IT
128344,,The Apartment,IT
76266,,Pearl Studio,CN
112397,/nKPY081QSorgv0RLeclKbzcXyna.png,American High,US
10285,/5jxaT7zoJKtnwqxniiJ9iJLsJru.png,LD Entertainment,US
5542,/ayE4LIqoAWotavo7xdvYngwqGML.png,Toei Animation,JP
10804,/f1mRiEP0loBe1n4FqmAeUiC68kI.png,Yumeta Company,JP
34780,,Chi-Fou-Mi Productions,FR
114797,,C8 Films,FR
11773,/8fCjsqh43LbPV6pm3SfR5Jx64GU.png,Artémis Productions,BE
5162,/ePS4wgTIC1hjOnnmxYJmYNEzAR.png,Memento Films Production,FR
22784,,WTFilms,
856,/3tfzS2CrX6Ntbu927XzHXEPDA6y.png,Wild Bunch,FR
19328,/2AdkrU1av4fDGw0Zaf68XH4YcqC.png,Ryan Murphy Productions,US
1974,,Duplass Brothers Productions,US
14464,,Sri Venkateswara Creations,IN
131148,,Bayview Projects,
96,/9ps82gVzUeNdkjmLzoGDQLiLDio.png,X Filme Creative Pool,DE
23318,,Mutressa Movies,
103697,,PASTEL,US
78178,,Rooftop Films,
71156,/jnYrp67FATgZgyP5Qvy9VgxvBR.png,Hype Film,RU
10975,,Colorado Film Production,
12923,,Warner Bros Pictures Italia,IT
96869,,Oriflamme Films,
18016,,La Vie Est Belle Films Associés,
121234,,Silverline Films,
76992,/mw3j3P8SUQJKLSJQrLKuSDO9Xr6.png,Saban Films,US
64738,,Mongrel Media,
16853,/f4OsvS3T5eNt7QvG2vJiOAIeS3B.png,Rook Films,GB
133398,,Three Tales Productions,
89142,/bfMAgFDoS5niHK077WKdoUMgLHp.png,Department of Motion Pictures,US
6714,,Court 13 Pictures,
100460,/hGGf8JQYnQfqJLx7mmDx6rcp4HD.png,Savvy Media Holdings,US
73666,,Covert Media,
911,,Roadside Attractions,US
45724,/zLt1ZhD6h1XZJnZ1SKlBnxS1VPH.png,Taodue Film,IT
130,/c9dVHPOL3cqCr2593Ahk0nEKTEM.png,Jerry Bruckheimer Films,US
82819,/5Z8WWr0Lf1tInVWwJsxPP0uMz9a.png,Skydance Media,US
21777,,TC Productions,
81620,/gNp4dfuBOXmVWdGKb63NfbFNbFi.png,Tencent Pictures,CN
82328,,AJ16 Entertainment,
88373,/lRSlXVhFKfpmgId76k0IIUGrSf5.png,Signal.MD,JP
124255,,Sublimation,JP
2395,/pZz4qs03FtP6UGtZ3hjQ6qimcwi.png,HanWay Films,GB
3555,/5vgxuOmB1UX3t6tPv6TChQCbyXf.png,The Chimney Pot,SE
2801,/bswb1PLLsKDUXMLgy42bZtCtIde.png,Film i Väst,SE
36765,,Adventure Pictures,GB
17009,/ssowAxOrrqsSR2CKeiytOXwLoCW.png,Universal 1440 Entertainment,US
5374,/8dgIXEObpRYixczGSpyW9rgnN53.png,Marv Films,GB
8089,/kEUAzsG2hZcCV7rmSCozgLhGWaa.png,Animal Logic,AU
7291,/eo8YnSO7wpUHVEprnMDOUcalhFD.png,Olive Bridge Entertainment,US
26727,/jeTxdjXhzgKZyLr3l9MllkTn3fy.png,Universal Television,US
89947,,Cinco Dedos Peliculas,US
10399,,CineTel Films,US
63611,/bHPC39cG5aAcuFnViWmRD59gzZ8.png,ETA films,US
124327,,Killing Link Productions,
124328,,Old City SAS,
831,,Saturn Films,US
1020,/kuUIHNwMec4dwOLghDhhZJzHZTd.png,Millennium Films,US
67412,/vgVqq5hunVs8GN5Je9d9rG7Q2NU.png,Movistar+,ES
129176,,Mantecadas Salazar AIE,
114640,,Nadcon Film,
4606,/otZHbf1HmzLRQsZFSqJXkf8EHz7.png,ZDF,DE
201,/6UIpEURdjnmcJPwgTDRzVRuwADr.png,ARTE,FR
61406,/cp27UOmwl39GhReASLlGOekc2OB.png,Orange,JP
123175,,DeAPlaneta,
58637,/yLSNxhJzLwYS0OZmLGjwnPcUGUT.png,Tremolo Productions,US
97315,,Black Mandala,
33916,,A Contracorriente Films,ES
63364,,Inicia Films,
11391,,Tribeca Productions,US
52867,/sihvTcE5dwZ4xl90uVcUHcet8Fc.png,Lastor Media,ES
72862,/uMxDko6HwgJnCClMwBWEk2INbzf.png,Brutal Media,ES
115569,,Minoría absoluta,
11764,,Next Step Studios,
52180,,Solstice Productions,
133831,,Burek Films,
23449,,American Empirical Pictures,US
9350,/xz60JVoUHpOeg1cJbxzMJiwbuL7.png,Indian Paintbrush,US
264,/fA90qwUKgPhMONqtwY60GaHRyrW.png,Studio Babelsberg,DE
25056,,Pepito Produzioni,
12377,,Minerva Pictures,
87327,,Evoke,
